text{ key = "inventory.caption.item.angler_key.1", value = "Clé poisson" }
text{ key = "inventory.caption.item.bird_key.1", value = "Clé vautour" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombes" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.bow.1", value = "Arc" }
text{ key = "inventory.caption.item.bow.2", value = "Arc & Flèches" }
text{ key = "inventory.caption.item.carte.1", value = "Carte de Cocolint" }
text{ key = "inventory.caption.item.conch_horn.1", value = "Conque de l'écume" }
text{ key = "inventory.caption.item.coral_triangle.1", value = "Triangle du corail" }
text{ key = "inventory.caption.item.drug.1", value = "Médicament secret" }
text{ key = "inventory.caption.item.face_key.1", value = "Clé du masque" }
text{ key = "inventory.caption.item.feather.1", value = "Plume" }
text{ key = "inventory.caption.item.fire_rod.1", value = "Bâton de feu" }
text{ key = "inventory.caption.item.flippers.1", value = "Palmes" }
text{ key = "inventory.caption.item.full_moon_cello.1", value = "Violon des vagues" }
text{ key = "inventory.caption.item.golden_leaves_counter.1", value = "Feuilles d'or" }
text{ key = "inventory.caption.item.hammer.1", value = "Marteau" }
text{ key = "inventory.caption.item.hookshot.1", value = "Grappin" }
text{ key = "inventory.caption.item.lamp.1", value = "Lanterne" }
text{ key = "inventory.caption.item.magic_powders_counter.1", value = "Poudre magique" }
text{ key = "inventory.caption.item.magnifying_lens.1", value = "Yoshi" }
text{ key = "inventory.caption.item.magnifying_lens.10", value = "Balai" }
text{ key = "inventory.caption.item.magnifying_lens.11", value = "Hameçon" }
text{ key = "inventory.caption.item.magnifying_lens.12", value = "Collier" }
text{ key = "inventory.caption.item.magnifying_lens.13", value = "Ecaille" }
text{ key = "inventory.caption.item.magnifying_lens.14", value = "Loupe" }
text{ key = "inventory.caption.item.magnifying_lens.2", value = "Ruban" }
text{ key = "inventory.caption.item.magnifying_lens.3", value = "Patée" }
text{ key = "inventory.caption.item.magnifying_lens.4", value = "Bananes" }
text{ key = "inventory.caption.item.magnifying_lens.5", value = "Bâton" }
text{ key = "inventory.caption.item.magnifying_lens.6", value = "Miel" }
text{ key = "inventory.caption.item.magnifying_lens.7", value = "Ananas" }
text{ key = "inventory.caption.item.magnifying_lens.8", value = "Hibiscus" }
text{ key = "inventory.caption.item.magnifying_lens.9", value = "Lettre" }
text{ key = "inventory.caption.item.melody_1.1", value = "Ballade du poisson-rêve" }
text{ key = "inventory.caption.item.melody_2.1", value = "Mambo de Mambo" }
text{ key = "inventory.caption.item.melody_3.1", value = "Chanson des grenouilles" }
text{ key = "inventory.caption.item.mushroom.1", value = "Champignon" }
text{ key = "inventory.caption.item.ocarina.1", value = "Ocarina" }
text{ key = "inventory.caption.item.organ_of_evening_calm.1", value = "Orgue de l'embellie" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Bottes de Pégase" }
text{ key = "inventory.caption.item.photos_counter.1", value = "Photos" }
text{ key = "inventory.caption.item.piece_of_heart.0", value = "0 fragment de coeur" }
text{ key = "inventory.caption.item.piece_of_heart.1", value = "1 fragment de coeur" }
text{ key = "inventory.caption.item.piece_of_heart.2", value = "2 fragments de coeur" }
text{ key = "inventory.caption.item.piece_of_heart.3", value = "3 fragments de coeur" }
text{ key = "inventory.caption.item.power_bracelet.1", value = "Bracelets de force" }
text{ key = "inventory.caption.item.sea_lilys_bell.1", value = "Cloche des algues" }
text{ key = "inventory.caption.item.seashells_counter.1", value = "Coquillages" }
text{ key = "inventory.caption.item.shield.1", value = "Bouclier" }
text{ key = "inventory.caption.item.shield.2", value = "Bouclier reflet" }
text{ key = "inventory.caption.item.shovel.1", value = "Pelle" }
text{ key = "inventory.caption.item.slim_key.1", value = "Clé cyclope" }
text{ key = "inventory.caption.item.surf_harp.1", value = "Harpe du reflux" }
text{ key = "inventory.caption.item.sword.1", value = "Epée" }
text{ key = "inventory.caption.item.sword.2", value = "Glaive Hylien" }
text{ key = "inventory.caption.item.tail_key.1", value = "Clé flagello" }
text{ key = "inventory.caption.item.thunder_drum.1", value = "Tambour des marées" }
text{ key = "inventory.caption.item.tunic.1", value = "Cotte de Mailles$verte" }
text{ key = "inventory.caption.item.tunic.2", value = "Cotte de Mailles$bleue" }
text{ key = "inventory.caption.item.tunic.3", value = "Cotte de Mailles$rouge" }
text{ key = "inventory.caption.item.wind_marimba.1", value = "Xylophone marin" }
text{ key = "map.caption.dungeon_name_1", value = "Cave Flagello" }
text{ key = "map.caption.dungeon_name_10", value = "Précipice aquatique" }
text{ key = "map.caption.dungeon_name_2", value = "Grotte du génie" }
text{ key = "map.caption.dungeon_name_3", value = "Cave aux clés" }
text{ key = "map.caption.dungeon_name_4", value = "Abîme du poisson" }
text{ key = "map.caption.dungeon_name_5", value = "Posson-chat" }
text{ key = "map.caption.dungeon_name_6", value = "Temple du masque" }
text{ key = "map.caption.dungeon_name_7", value = "Tour du vautour" }
text{ key = "map.caption.dungeon_name_8", value = "Roc de la tortue" }
text{ key = "map.caption.dungeon_name_9", value = "Donjon des couleurs" }
text{ key = "map.caption.world_map", value = "Carte de Cocolint" }
text{ key = "options.caption.press_action_change_mode", value = "Appuyez sur Action$pour changer de mode" }
text{ key = "options.caption.press_action_customize_key", value = "Appuyez sur Action pour$configurer cette touche" }
text{ key = "options.caption.press_key", value = "Appuyez sur une touche$du clavier ou du joypad" }
text{ key = "options.command.action", value = "Action" }
text{ key = "options.command.attack", value = "Epée" }
text{ key = "options.command.down", value = "Bas" }
