properties{
  x = 0,
  y = 0,
  width = 640,
  height = 256,
  min_layer = 0,
  max_layer = 2,
  world = "inside_world",
  tileset = "dungeons/light_brown",
  music = "same",
}

tile{
  layer = 0,
  x = 288,
  y = 24,
  width = 288,
  height = 144,
  pattern = "floor_low.1-1",
}

tile{
  layer = 0,
  x = 296,
  y = 24,
  width = 272,
  height = 8,
  pattern = "wall_border.1-1",
}

tile{
  layer = 0,
  x = 40,
  y = 0,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-1",
}

tile{
  layer = 0,
  x = 576,
  y = 0,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-1",
}

tile{
  layer = 0,
  x = 576,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-1",
}

tile{
  layer = 0,
  x = 40,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-1",
}

tile{
  layer = 0,
  x = 64,
  y = 0,
  width = 512,
  height = 24,
  pattern = "wall.1-1",
}

tile{
  layer = 0,
  x = 40,
  y = 24,
  width = 24,
  height = 192,
  pattern = "wall.3-1",
}

tile{
  layer = 0,
  x = 576,
  y = 24,
  width = 24,
  height = 192,
  pattern = "wall.4-1",
}

tile{
  layer = 0,
  x = 64,
  y = 24,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = 0,
  x = 64,
  y = 144,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = 0,
  x = 64,
  y = 48,
  width = 24,
  height = 96,
  pattern = "wall_low.3-1",
}

tile{
  layer = 0,
  x = 88,
  y = 24,
  width = 176,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = 0,
  x = 264,
  y = 24,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = 0,
  x = 88,
  y = 144,
  width = 176,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = 0,
  x = 264,
  y = 144,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = 0,
  x = 264,
  y = 48,
  width = 24,
  height = 96,
  pattern = "wall_low.4-1",
}

tile{
  layer = 0,
  x = 88,
  y = 48,
  width = 176,
  height = 96,
  pattern = "floor.4-2",
}

tile{
  layer = 0,
  x = 64,
  y = 168,
  width = 512,
  height = 48,
  pattern = "floor_low.1-1",
}

tile{
  layer = 0,
  x = 64,
  y = 168,
  width = 8,
  height = 8,
  pattern = "barrier.border-1",
}

tile{
  layer = 0,
  x = 72,
  y = 168,
  width = 40,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 112,
  y = 144,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.2.border.1-1",
}

tile{
  layer = 0,
  x = 120,
  y = 168,
  width = 16,
  height = 8,
  pattern = "stairs_inner_up.2.top-1",
}

tile{
  layer = 0,
  x = 136,
  y = 144,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.2.border.2-1",
}

tile{
  layer = 0,
  x = 112,
  y = 168,
  width = 8,
  height = 8,
  pattern = "stairs_inner_up.2.top.border.1-1",
}

tile{
  layer = 0,
  x = 136,
  y = 168,
  width = 8,
  height = 8,
  pattern = "stairs_inner_up.2.top.border.2-1",
}

tile{
  layer = 0,
  x = 120,
  y = 144,
  width = 16,
  height = 24,
  pattern = "stairs_inner_up.2-1",
}

tile{
  layer = 0,
  x = 112,
  y = 168,
  width = 8,
  height = 8,
  pattern = "barrier.border-1",
}

tile{
  layer = 0,
  x = 136,
  y = 168,
  width = 8,
  height = 8,
  pattern = "barrier.border-1",
}

tile{
  layer = 0,
  x = 288,
  y = 168,
  width = 8,
  height = 8,
  pattern = "barrier.border-1",
}

tile{
  layer = 0,
  x = 288,
  y = 32,
  width = 8,
  height = 136,
  pattern = "barrier.2-1",
}

tile{
  layer = 0,
  x = 288,
  y = 24,
  width = 8,
  height = 8,
  pattern = "barrier.border-1",
}

tile{
  layer = 0,
  x = 144,
  y = 168,
  width = 144,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 88,
  y = 136,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-1",
}

tile{
  layer = 0,
  x = 88,
  y = 48,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-1",
}

tile{
  layer = 0,
  x = 256,
  y = 48,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-1",
}

tile{
  layer = 0,
  x = 256,
  y = 136,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-1",
}

tile{
  layer = 0,
  x = 96,
  y = 136,
  width = 160,
  height = 8,
  pattern = "wall_low_border.2-1",
}

tile{
  layer = 0,
  x = 96,
  y = 48,
  width = 160,
  height = 8,
  pattern = "wall_low_border.1-1",
}

tile{
  layer = 0,
  x = 256,
  y = 56,
  width = 8,
  height = 80,
  pattern = "wall_low_border.4-1",
}

tile{
  layer = 0,
  x = 88,
  y = 56,
  width = 8,
  height = 80,
  pattern = "wall_low_border.3-1",
}

tile{
  layer = 0,
  x = 64,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-1",
}

tile{
  layer = 0,
  x = 64,
  y = 176,
  width = 8,
  height = 32,
  pattern = "wall_border.3-1",
}

tile{
  layer = 0,
  x = 72,
  y = 208,
  width = 496,
  height = 8,
  pattern = "wall_border.2-1",
}

tile{
  layer = 0,
  x = 568,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-1",
}

tile{
  layer = 0,
  x = 568,
  y = 24,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-1",
}

tile{
  layer = 0,
  x = 568,
  y = 32,
  width = 8,
  height = 176,
  pattern = "wall_border.4-1",
}

tile{
  layer = 0,
  x = 560,
  y = 0,
  width = 16,
  height = 32,
  pattern = "bookshelf.3",
}

tile{
  layer = 0,
  x = 448,
  y = 0,
  width = 16,
  height = 32,
  pattern = "bookshelf.1",
}

tile{
  layer = 0,
  x = 464,
  y = 0,
  width = 96,
  height = 32,
  pattern = "bookshelf.2",
}

tile{
  layer = 0,
  x = 416,
  y = 0,
  width = 16,
