properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  world = "Cocolint",
  tileset = "house",
  music = "same",
}

tile{
  layer = 1,
  x = 168,
  y = 200,
  width = 48,
  height = 24,
  pattern = 52,
}

tile{
  layer = 1,
  x = 216,
  y = 200,
  width = 24,
  height = 24,
  pattern = 48,
}

tile{
  layer = 1,
  x = 80,
  y = 200,
  width = 24,
  height = 24,
  pattern = 47,
}

tile{
  layer = 1,
  x = 104,
  y = 200,
  width = 48,
  height = 24,
  pattern = 52,
}

tile{
  layer = 1,
  x = 80,
  y = 88,
  width = 24,
  height = 112,
  pattern = 51,
}

tile{
  layer = 1,
  x = 80,
  y = 64,
  width = 24,
  height = 24,
  pattern = 45,
}

tile{
  layer = 1,
  x = 104,
  y = 64,
  width = 112,
  height = 24,
  pattern = 49,
}

tile{
  layer = 1,
  x = 216,
  y = 64,
  width = 24,
  height = 24,
  pattern = 46,
}

tile{
  layer = 1,
  x = 216,
  y = 88,
  width = 24,
  height = 112,
  pattern = 50,
}

tile{
  layer = 1,
  x = 168,
  y = 200,
  width = 8,
  height = 16,
  pattern = 75,
}

tile{
  layer = 1,
  x = 144,
  y = 200,
  width = 8,
  height = 16,
  pattern = 74,
}

tile{
  layer = 1,
  x = 152,
  y = 200,
  width = 16,
  height = 16,
  pattern = 77,
}

tile{
  layer = 1,
  x = 104,
  y = 88,
  width = 112,
  height = 112,
  pattern = 2,
}

tile{
  layer = 1,
  x = 192,
  y = 136,
  width = 8,
  height = 8,
  pattern = 214,
}

tile{
  layer = 1,
  x = 192,
  y = 120,
  width = 8,
  height = 16,
  pattern = 210,
}

tile{
  layer = 1,
  x = 192,
  y = 112,
  width = 8,
  height = 8,
  pattern = 209,
}

tile{
  layer = 1,
  x = 176,
  y = 120,
  width = 16,
  height = 16,
  pattern = 212,
}

tile{
  layer = 1,
  x = 176,
  y = 136,
  width = 16,
  height = 8,
  pattern = 215,
}

tile{
  layer = 1,
  x = 168,
  y = 136,
  width = 8,
  height = 8,
  pattern = 213,
}

tile{
  layer = 1,
  x = 168,
  y = 112,
  width = 8,
  height = 8,
  pattern = 207,
}

tile{
  layer = 1,
  x = 168,
  y = 120,
  width = 8,
  height = 16,
  pattern = 211,
}

tile{
  layer = 1,
  x = 176,
  y = 112,
  width = 16,
  height = 8,
  pattern = 208,
}

tile{
  layer = 1,
  x = 104,
  y = 88,
  width = 8,
  height = 8,
  pattern = 14,
}

tile{
  layer = 1,
  x = 112,
  y = 88,
  width = 96,
  height = 8,
  pattern = 18,
}

tile{
  layer = 1,
  x = 208,
  y = 88,
  width = 8,
  height = 8,
  pattern = 15,
}

tile{
  layer = 1,
  x = 104,
  y = 96,
  width = 8,
  height = 96,
  pattern = 20,
}

tile{
  layer = 1,
  x = 104,
  y = 192,
  width = 8,
  height = 8,
  pattern = 16,
}

tile{
  layer = 1,
  x = 112,
  y = 192,
  width = 96,
  height = 8,
  pattern = 21,
}

tile{
  layer = 1,
  x = 208,
  y = 192,
  width = 8,
  height = 8,
  pattern = 17,
}

tile{
  layer = 1,
  x = 208,
  y = 96,
  width = 8,
  height = 96,
  pattern = 19,
}

tile{
  layer = 1,
  x = 144,
  y = 64,
  width = 16,
  height = 32,
  pattern = 42,
}

tile{
  layer = 1,
  x = 160,
  y = 64,
  width = 16,
  height = 32,
  pattern = 43,
}

tile{
  layer = 1,
  x = 144,
  y = 216,
  width = 8,
  height = 24,
  pattern = 71,
}

tile{
  layer = 1,
  x = 168,
  y = 216,
  width = 8,
  height = 24,
  pattern = 71,
}

tile{
  layer = 1,
  x = 152,
  y = 216,
  width = 16,
  height = 32,
  pattern = 2,
}

destination{
  layer = 1,
  x = 160,
  y = 213,
  name = "cabine_telephonique_1_1_B",
  direction = 1,
}

teletransporter{
  layer = 1,
  x = 152,
  y = 224,
  width = 16,
  height = 16,
  name = "cabine_telephonique_1_2_B",
  transition = 1,
  destination_map = "outside_village",
  destination = "cabine_telephonique_1_2_A",
}

tile{
  layer = 2,
  x = 0,
  y = 0,
  width = 80,
  height = 240,
  pattern = 170,
}

tile{
  layer = 2,
  x = 240,
  y = 0,
  width = 80,
  height = 240,
  pattern = 170,
}

tile{
  layer = 2,
  x = 80,
  y = 0,
  width = 160,
  height = 64,
  pattern = 170,
}

tile{
  layer = 2,
  x = 144,
  y = 216,
  width = 32,
  height = 8,
  pattern = 153,
}

tile{
  layer = 2,
  x = 80,
  y = 224,
  width = 160,
  height = 16,
  pattern = 170,
}

