map{ id = "caves/cave", description = "Cave" }
map{ id = "caves/east_mt_tamaranch/cave_1", description = "Cave 1 - Underwater Cave" }
map{ id = "caves/east_mt_tamaranch/fairy_fountain", description = "Fairy's fountain" }
map{ id = "caves/east_prairie/cave_1", description = "Cave 1 - Road to Animals Village" }
map{ id = "caves/east_prairie/cave_2", description = "Cave 2 - Prairie Hill 1" }
map{ id = "caves/east_prairie/cave_3", description = "Cave 3 - Prairie Hill 2" }
map{ id = "caves/egg_of_the_dream_fish/cave_1", description = "Cave 1" }
map{ id = "caves/egg_of_the_dream_fish/cave_2", description = "Cave 2" }
map{ id = "caves/egg_of_the_dream_fish/cave_3", description = "Cave 3" }
map{ id = "caves/egg_of_the_dream_fish/cave_4", description = "Cave 4 - Mad bat cavern" }
map{ id = "caves/egg_of_the_dream_fish/cave_5", description = "Cave 5 - Path to West Mt Tamaranch" }
map{ id = "caves/egg_of_the_dream_fish/moblins_cave", description = "Moblins's house" }
map{ id = "caves/forest/cave_1", description = "Cave 1" }
map{ id = "caves/forest/cave_2", description = "Cave 2" }
map{ id = "caves/forest/cave_3", description = "Cave 3 - Mad Bat cavern" }
map{ id = "caves/graveyard/cave_1", description = "Cave 1 - Heart Piece Cave" }
map{ id = "caves/kanalet_castle/cave_1", description = "Cave 1" }
map{ id = "caves/mabe_village/cave_1", description = "Cave 1" }
map{ id = "caves/mabe_village/weathercock", description = "Weathercock" }
map{ id = "caves/mambos_cave/cave_1", description = "Cave 1 - Vers randonneur 1" }
map{ id = "caves/mambos_cave/cave_2", description = "Cave 2 - Vers randonneur 2" }
map{ id = "caves/martha_bay/cave_1", description = "Cave 1 - Chemin vers l'upgrade de poudre magique" }
map{ id = "caves/martha_bay/cave_2", description = "Cave 2 - Lens Cave" }
map{ id = "caves/mask_shrine/fairy_fountain", description = "Fairy's fountain" }
map{ id = "caves/prairie/cave_1", description = "Cave 1" }
map{ id = "caves/prairie/cave_2", description = "Cave 2" }
map{ id = "caves/prairie/fairy_fountain", description = "Fairy fountain" }
map{ id = "caves/south_prairie/cave_1", description = "Cave 1" }
map{ id = "caves/south_prairie/cave_2", description = "Cave 2" }
map{ id = "caves/south_prairie/cave_3", description = "Cave 3 - Mad bat cavern" }
map{ id = "caves/south_prairie/cave_4", description = "Cave 4 - Boomerang Cave" }
map{ id = "caves/south_prairie/cave_5", description = "Cave 5 - Wart Cave" }
map{ id = "caves/west_mt_tamaranch/cave_1", description = "Cave 1" }
map{ id = "caves/west_mt_tamaranch/cave_2", description = "Cave 2 - To Turtle Rock" }
